nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Palma Riad,162,5.0,631.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d23674311-Reviews-Palma_Riad-Palma_de_Mallorca_Majorca_Balearic_Islands.html
El Llorenc Parc de la Mar,323,5.0,367.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Heated pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d15645101-Reviews-El_Llorenc_Parc_de_la_Mar-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Can Bordoy Grand House & Garden,183,4.5,513.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Heated pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d15327535-Reviews-Can_Bordoy_Grand_House_Garden-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Almudaina Hotel,1428,4.0,205.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d232766-Reviews-Almudaina_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Amic Colon Hotel,322,3.5,111.5,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d206941-Reviews-Amic_Colon_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Nobis Hotel Palma,22,4.5,458.5,Palma de Mallorca,"['Free Wifi', 'Indoor pool', 'Restaurant', 'Bar/Lounge', 'Spa']",https://www.tripadvisor.com/Hotel_Review-g187463-d26864850-Reviews-Nobis_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palau Sa Font,472,4.5,183.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d232767-Reviews-Palau_Sa_Font-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hesperia Ciudad de Mallorca,614,4.0,137.5,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d228624-Reviews-Hesperia_Ciudad_de_Mallorca-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Concepcio By Nobis,132,5.0,325.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d23348433-Reviews-Concepcio_By_Nobis-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hostal Mar del Plata,134,3.0,52.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d1840274-Reviews-Hostal_Mar_del_Plata-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Sheraton Mallorca Arabella Golf Hotel,418,4.5,335.5,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Breakfast included', 'Pool', 'Heated pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d234554-Reviews-Sheraton_Mallorca_Arabella_Golf_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Eurostars Marivent Hotel,154,4.0,141.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d231677-Reviews-Eurostars_Marivent_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Antigua Palma,79,5.0,317.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Bar/Lounge', 'Spa']",https://www.tripadvisor.com/Hotel_Review-g187463-d17464494-Reviews-Hotel_Antigua_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Metropolitan Juka Playa,1,5.0,116.5,Palma de Mallorca,"['Pool', 'Restaurant', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d21512313-Reviews-Metropolitan_Juka_Playa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Araxa,542,4.0,133.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d272775-Reviews-Hotel_Araxa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Artmadams,543,4.0,157.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d231673-Reviews-Hotel_Artmadams-Palma_de_Mallorca_Majorca_Balearic_Islands.html
BO Hotel Palma,211,4.5,255.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Restaurant', 'Airport transportation', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d10062114-Reviews-BO_Hotel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Icon Rosetó,638,4.5,253.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d12978599-Reviews-Icon_Roseto-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Nou Baleares,134,4.5,156.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d20109445-Reviews-Hotel_Nou_Baleares-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Sercotel Zurbarán,281,4.0,154.0,Palma de Mallorca,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d266980-Reviews-Hotel_Sercotel_Zurbaran-Palma_de_Mallorca_Majorca_Balearic_Islands.html
