nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Villa Vistas al Teide,1,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d26831062-Reviews-Villa_Vistas_al_Teide-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Wanderlust Hostel,2,4.0,26.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d25795967-Reviews-Wanderlust_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Dos Barrancos,3,4.0,131.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d789617-Reviews-Casa_Dos_Barrancos-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Villa Aurora Apartamentos & Pension,6,4.0,95.5,Santa Cruz de Tenerife,"['Pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d2668115-Reviews-Villa_Aurora_Apartamentos_Pension-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Antonia Guest House,5,3.5,,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Airport transportation', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187482-d12349695-Reviews-Casa_Antonia_Guest_House-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Brisas del Mar,1,4.0,51.5,Santa Cruz de Tenerife,['Bar/Lounge'],https://www.tripadvisor.com/Hotel_Review-g187482-d15654536-Reviews-Brisas_del_Mar-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tanausu Hotel,3,3.0,71.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15612690-Reviews-Tanausu_Hotel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Royal Marina Golf,1,1.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d16855019-Reviews-Royal_Marina_Golf-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel El Dorado,3,2.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d1498094-Reviews-Hotel_El_Dorado-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Adonis Pelinor,198,3.0,,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d313036-Reviews-Hotel_Adonis_Pelinor-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos Ester,0,0.0,104.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27173920-Reviews-Apartamentos_Ester-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Holiday Chema,6,2.5,,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d12487814-Reviews-Tenerife_Holiday_Chema-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Canary Lofts,2,1.0,78.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d24165231-Reviews-Canary_Lofts-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Rooms,5,1.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23700961-Reviews-Tenerife_Rooms-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hierro,0,0.0,61.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27974516-Reviews-Hierro-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Brisas De Anaga,0,0.0,66.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15746914-Reviews-Brisas_De_Anaga-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
8 Calle Tangara La gloria,0,0.0,62.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23305023-Reviews-8_Calle_Tangara_La_gloria-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Rural Chamorga,0,0.0,71.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23311661-Reviews-Casa_Rural_Chamorga-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Sunrise On The Ocean,0,0.0,111.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23251592-Reviews-Sunrise_On_The_Ocean-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Pension Los Vinitos,0,0.0,,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Beachfront', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187482-d14768137-Reviews-Pension_Los_Vinitos-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Kunstlervilla,0,0.0,,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d12558995-Reviews-Kunstlervilla-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Villa Larnia,0,0.0,139.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d21278607-Reviews-Villa_Larnia-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Finca Flor de Ciruelo,0,0.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d24045930-Reviews-Finca_Flor_de_Ciruelo-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Toscal Apartments,0,0.0,65.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15647120-Reviews-Toscal_Apartments-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Medano,0,0.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23523875-Reviews-Hotel_Medano-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Haciendas del Valle - Las Kentias,0,0.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d21259007-Reviews-Haciendas_del_Valle_Las_Kentias-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Habitacion Privada En Casa Compartida,0,0.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d18189141-Reviews-Habitacion_Privada_En_Casa_Compartida-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Blanca Masca,0,0.0,85.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27120138-Reviews-Casa_Blanca_Masca-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Villa Kiril,0,0.0,94.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d16916945-Reviews-Villa_Kiril-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Budget Travellers,0,0.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d12672603-Reviews-Budget_Travellers-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
