nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Hotel Costa Azul,2081,4.5,177.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Indoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d238670-Reviews-Hotel_Costa_Azul-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Victoria Gran Meliá,2447,4.5,270.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d228620-Reviews-Hotel_Victoria_Gran_Melia-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Nakar Hotel,2327,5.0,349.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Heated pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d10059938-Reviews-Nakar_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
INNSiDE Palma Bosque,1082,4.5,160.0,Palma de Mallorca,"['Free Wifi', 'Indoor pool', 'Outdoor pool', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d231684-Reviews-INNSiDE_Palma_Bosque-Palma_de_Mallorca_Majorca_Balearic_Islands.html
BQ Belvedere Hotel,3702,4.0,154.0,Palma de Mallorca,"['Free parking', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d291687-Reviews-BQ_Belvedere_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Meliá Palma Marina,3060,4.0,172.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d228520-Reviews-Melia_Palma_Marina-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Palma Bellver Affiliated by Meliá,3234,4.0,144.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d284374-Reviews-Hotel_Palma_Bellver_Affiliated_by_Melia-Palma_de_Mallorca_Majorca_Balearic_Islands.html
"Summum Boutique Hotel, Member of Meliá Collection",557,5.0,395.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d12865070-Reviews-Summum_Boutique_Hotel_Member_of_Melia_Collection-Palma_de_Mallorca_Majorca_Balearic_I.html
Hm Palma Blanc,220,4.5,200.0,Palma de Mallorca,"['Free Wifi', 'Indoor pool', 'Restaurant', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d23969575-Reviews-Hm_Palma_Blanc-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Melia Palma Bay,1114,4.0,199.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187463-d12218723-Reviews-Melia_Palma_Bay-Palma_de_Mallorca_Majorca_Balearic_Islands.html
INNSiDE By Meliá Palma Center,1258,4.5,224.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Indoor pool', 'Outdoor pool', 'Heated pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d248987-Reviews-INNSiDE_By_Melia_Palma_Center-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Ahoi! Urban Beach Hotel,71,2.5,66.0,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d27365647-Reviews-Ahoi_Urban_Beach_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Es Princep,1180,5.0,413.5,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d12618449-Reviews-Es_Princep-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Catalonia Majorica,2467,4.0,145.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Indoor pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d228629-Reviews-Catalonia_Majorica-Palma_de_Mallorca_Majorca_Balearic_Islands.html
JS Palma Plaza,152,5.0,187.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Heated pool', 'Restaurant', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d25285125-Reviews-JS_Palma_Plaza-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Amic Horizonte,1441,3.5,117.0,Palma de Mallorca,"['Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d206938-Reviews-Hotel_Amic_Horizonte-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Tres by Petit Palace,1058,4.5,271.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d483599-Reviews-Hotel_Tres_by_Petit_Palace-Palma_de_Mallorca_Majorca_Balearic_Islands.html
HM Balanguera,1323,4.5,159.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d3574927-Reviews-HM_Balanguera-Palma_de_Mallorca_Majorca_Balearic_Islands.html
We Hostel Palma,33,3.5,72.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d13507442-Reviews-We_Hostel_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
HM Jaime III,2711,4.5,186.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d231682-Reviews-HM_Jaime_III-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Can Cera Mallorcan Luxury House,979,5.0,474.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Airport transportation', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d2091212-Reviews-Can_Cera_Mallorcan_Luxury_House-Palma_de_Mallorca_Majorca_Balearic_Islands.html
BQ Augusta Hotel,717,4.5,139.5,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d272733-Reviews-BQ_Augusta_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
