nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Hotel Abelux,331,3.5,134.5,Palma de Mallorca,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d231672-Reviews-Hotel_Abelux-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hostal Pons,160,3.5,124.5,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d1200297-Reviews-Hostal_Pons-Palma_de_Mallorca_Majorca_Balearic_Islands.html
GPRO Valparaiso Palace & SPA,1104,4.0,260.0,Palma de Mallorca,"['Free Wifi', 'Free parking', 'Pool', 'Heated pool', 'Indoor pool']",https://www.tripadvisor.com/Hotel_Review-g187463-d238582-Reviews-GPRO_Valparaiso_Palace_SPA-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Feliz,854,4.5,183.5,Palma de Mallorca,"['Free Wifi', 'Outdoor pool', 'Restaurant', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d1797289-Reviews-Hotel_Feliz-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Boutique Bosch,74,4.0,237.5,Palma de Mallorca,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d10007127-Reviews-Hotel_Boutique_Bosch-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel San Lorenzo,311,4.5,260.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Pool', 'Outdoor pool', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d238585-Reviews-Hotel_San_Lorenzo-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Ca n’Alexandre,207,4.5,159.5,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d15812059-Reviews-Ca_n_Alexandre-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Ocho Suites & Kitchen,114,5.0,390.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d18894138-Reviews-Ocho_Suites_Kitchen-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Ars Magna Bleisure Hotel,123,4.5,217.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187463-d16718746-Reviews-Ars_Magna_Bleisure_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palma Suites Hotel Residence,655,4.5,270.0,Palma de Mallorca,"['Free Wifi', 'Pool', 'Outdoor pool', 'Pets Allowed', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d3947323-Reviews-Palma_Suites_Hotel_Residence-Palma_de_Mallorca_Majorca_Balearic_Islands.html
MHOUSE Hotel,225,4.5,228.0,Palma de Mallorca,"['Free Wifi', 'Outdoor pool', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d620006-Reviews-MHOUSE_Hotel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Ac Hotel Ciutat De Palma,501,4.0,194.0,Palma de Mallorca,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187463-d277437-Reviews-Ac_Hotel_Ciutat_De_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Born,733,4.0,248.0,Palma de Mallorca,"['Free Wifi', 'Breakfast included']",https://www.tripadvisor.com/Hotel_Review-g187463-d263774-Reviews-Hotel_Born-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palma Port Hostel,38,4.0,30.0,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d10749965-Reviews-Palma_Port_Hostel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Hostal Cuba,598,4.5,229.5,Palma de Mallorca,"['Free Wifi', 'Breakfast included', 'Restaurant', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d1497250-Reviews-Hotel_Hostal_Cuba-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Boutique Hotel Petit Monti-sión,40,4.5,190.0,Palma de Mallorca,"['Free Wifi', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187463-d23981863-Reviews-Boutique_Hotel_Petit_Monti_sion-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Apuntadores 8,85,4.0,163.0,Palma de Mallorca,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187463-d1160596-Reviews-Apuntadores_8-Palma_de_Mallorca_Majorca_Balearic_Islands.html
